epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,5.3,3.29,19.0,0.0,0.694,5.3,8.98,0.655,0.7358
2,3.02,1.84,33.3,0.0,0.693,3.02,6.65,0.5514,0.7138
3,3.0,2.02,45.2,0.0,0.694,3.0,5.96,0.499,0.6112
4,2.97,2.34,47.6,0.0,0.693,2.97,5.15,0.4779,0.6284
5,1.91,1.04,50.0,0.0,0.692,1.91,4.81,0.4343,0.5578
6,1.91,1.48,52.4,0.0,0.693,1.91,4.47,0.4275,0.5268
7,1.47,1.01,66.7,0.0,0.693,1.47,4.51,0.3959,0.4862
8,1.64,1.5,69.0,0.0,0.693,1.64,4.36,0.3929,0.5016
9,0.853,0.886,85.7,0.0,1.39,0.854,4.27,0.3713,0.4498
10,0.986,0.962,81.0,0.0,1.39,0.986,4.13,0.3855,0.4569
11,0.658,0.546,85.7,1.39,1.39,0.672,3.74,0.3557,0.4171
12,0.709,0.967,81.0,1.39,1.37,0.724,3.77,0.3547,0.4391
13,0.404,0.83,92.9,1.38,1.39,0.418,3.64,0.3264,0.4179
14,0.588,0.571,88.1,1.39,1.39,0.602,3.72,0.3658,0.4627
15,0.573,0.503,83.3,1.39,1.39,0.587,3.75,0.3499,0.4216
16,0.454,0.67,88.1,1.39,1.39,0.468,3.79,0.3536,0.4531
17,0.715,0.746,76.2,1.39,1.39,0.729,3.6,0.3452,0.4311
18,0.555,0.832,85.7,1.39,1.39,0.57,3.58,0.3372,0.4919
19,0.422,0.875,95.2,1.39,1.39,0.436,3.51,0.3294,0.4467
20,0.274,0.583,97.6,1.39,1.39,0.288,3.62,0.3365,0.4596
21,0.378,0.523,95.2,1.39,1.39,0.392,3.56,0.3314,0.4566
22,0.319,0.273,92.9,1.39,1.39,0.333,3.64,0.342,0.4758
23,0.299,0.437,97.6,1.39,1.39,0.314,3.62,0.3309,0.4698
24,0.399,0.365,92.9,1.39,1.39,0.413,3.57,0.3329,0.4515
25,0.703,0.641,88.1,1.39,1.39,0.718,3.59,0.3424,0.459
26,0.48,1.08,88.1,1.39,1.39,0.495,3.56,0.3437,0.4517
27,0.28,0.657,97.6,1.39,1.39,0.295,3.62,0.3415,0.4583
28,0.29,0.995,95.2,1.39,1.39,0.305,3.61,0.3407,0.4593
29,0.277,0.421,95.2,1.39,1.39,0.291,3.57,0.3426,0.4574
30,0.379,0.475,95.2,1.39,1.39,0.393,3.59,0.3431,0.4689
