epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,7.49,4.08,9.09,1.59,1.32,8.29,10.87,0.7235,0.883
2,2.86,2.23,36.4,1.46,1.42,3.59,7.47,0.5791,0.7431
3,0.932,1.32,72.7,1.36,1.45,1.61,5.9,0.5264,0.6381
4,1.55,1.36,72.7,1.46,1.43,2.28,5.42,0.5092,0.5922
5,1.04,0.545,63.6,1.49,1.36,1.79,4.72,0.44,0.4915
6,1.84,1.83,63.6,1.73,1.43,2.34,4.63,0.4161,0.5341
7,1.38,0.848,72.7,1.75,1.3,1.39,4.48,0.4017,0.4663
8,1.08,1.66,72.7,2.04,1.32,1.11,4.29,0.3915,0.4617
9,0.954,0.402,63.6,4.33,0.87,0.998,3.95,0.3732,0.4157
10,0.627,1.35,90.9,4.03,0.867,0.668,4.08,0.3712,0.3847
11,2.23,1.5,63.6,3.79,1.33,2.27,4.0,0.3808,0.4695
12,0.572,0.193,81.8,3.58,1.14,0.608,3.97,0.351,0.3883
13,0.526,0.253,81.8,3.65,0.866,0.562,3.8,0.3523,0.4082
14,0.303,0.201,100.0,3.39,0.86,0.337,3.89,0.3585,0.4014
15,0.144,1.34,100.0,4.7,1.01,0.192,3.79,0.3541,0.4399
16,0.461,1.33,90.9,3.41,1.08,0.496,3.75,0.3677,0.4299
17,0.351,0.134,90.9,1.85,1.16,0.37,3.48,0.3734,0.4513
18,0.236,0.119,100.0,2.89,1.27,0.265,3.79,0.3715,0.4257
19,0.475,0.264,90.9,2.92,1.42,0.504,3.67,0.3459,0.4359
20,0.123,1.19,100.0,6.04,0.767,0.184,3.7,0.3554,0.4069
21,0.317,0.199,90.9,3.81,0.938,0.355,3.58,0.3703,0.4325
22,0.263,0.188,100.0,5.2,0.964,0.315,3.71,0.3664,0.4582
23,0.269,0.28,90.9,2.96,0.957,0.299,3.68,0.3471,0.4149
24,0.389,1.53,100.0,4.03,0.748,0.431,3.69,0.3816,0.4386
25,0.333,1.22,90.9,3.18,0.835,0.366,3.65,0.3714,0.4525
26,0.125,0.301,100.0,2.03,1.52,0.145,3.7,0.3689,0.4425
27,0.282,0.198,90.9,2.3,1.05,0.305,3.72,0.3685,0.4713
28,0.0882,0.206,100.0,3.57,1.04,0.124,3.71,0.3739,0.4597
29,0.285,0.244,90.9,4.88,0.792,0.335,3.66,0.3669,0.4606
30,0.169,2.47,100.0,2.61,0.84,0.197,3.66,0.3718,0.4315
