epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,8.44,6.06,6.0,0.693,0.696,8.45,13.64,0.8612,0.9481
2,4.44,2.74,30.0,0.704,0.697,4.44,8.9,0.6609,0.7755
3,3.41,2.34,34.0,0.697,0.68,3.41,7.15,0.5924,0.7252
4,2.78,1.66,40.0,0.716,0.693,2.79,6.26,0.5366,0.6075
5,1.97,1.53,48.0,0.732,0.723,1.97,5.28,0.4575,0.5206
6,1.55,1.15,66.0,0.687,0.685,1.55,5.16,0.4453,0.5922
7,1.11,0.716,68.0,0.694,0.686,1.11,4.86,0.444,0.6088
8,1.59,1.42,66.0,0.719,0.701,1.59,4.45,0.4159,0.5071
9,0.787,0.958,82.0,0.7,0.694,0.788,4.48,0.4033,0.4814
10,0.728,0.798,84.0,0.699,0.699,0.73,4.35,0.3925,0.4591
11,0.543,0.741,88.0,0.699,0.686,0.544,4.48,0.3676,0.4748
12,0.764,1.02,88.0,0.708,0.713,0.765,4.36,0.3701,0.4704
13,0.374,0.568,94.0,0.703,0.7,0.375,4.04,0.3481,0.4455
14,0.395,1.11,92.0,0.701,0.69,0.396,4.17,0.3771,0.4327
15,0.478,0.884,92.0,0.708,0.653,0.479,4.17,0.3619,0.473
16,0.512,0.951,90.0,0.695,0.716,0.513,4.06,0.3694,0.4336
17,0.841,0.147,81.8,0.692,0.694,1.01,3.95,0.3523,0.4404
18,0.208,0.23,100.0,0.714,0.702,0.369,3.95,0.3395,0.4694
19,0.194,0.574,100.0,0.703,0.699,0.353,3.98,0.3345,0.4284
20,0.478,0.426,81.8,0.7,0.699,0.653,3.96,0.3448,0.415
21,1.13,0.339,81.8,0.679,0.696,1.14,3.86,0.3346,0.4391
22,0.49,0.362,81.8,0.695,0.695,0.664,3.91,0.3353,0.42
23,0.0936,0.402,100.0,0.695,0.676,0.25,3.87,0.3273,0.4249
24,0.176,1.32,100.0,0.703,0.689,0.335,3.9,0.3476,0.4364
25,0.436,0.403,90.9,0.697,0.694,0.61,3.86,0.3274,0.4332
26,0.278,2.74,90.9,0.684,0.69,0.434,3.83,0.3374,0.4329
27,0.15,0.321,100.0,0.7,0.692,0.308,3.89,0.3273,0.4416
28,0.309,0.842,100.0,0.731,0.7,0.474,3.89,0.3297,0.4288
29,0.554,0.413,81.8,0.716,0.68,0.734,3.9,0.3261,0.4472
30,0.202,1.29,100.0,0.699,0.7,0.36,3.91,0.3294,0.4383
