epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,8.38,4.89,9.09,1.45,1.38,9.11,10.82,0.7111,0.8987
2,2.09,1.01,45.5,1.46,1.37,2.82,7.14,0.5957,0.7101
3,3.51,1.81,45.5,1.49,1.31,4.26,5.86,0.502,0.624
4,0.937,1.51,81.8,1.53,1.33,1.7,5.4,0.4536,0.61
5,2.62,1.7,63.6,1.38,1.39,3.3,4.78,0.4278,0.5528
6,1.4,1.33,54.5,1.53,1.4,1.95,4.53,0.4265,0.563
7,1.3,0.618,63.6,1.99,1.24,1.32,4.34,0.4005,0.528
8,0.895,0.267,72.7,2.61,1.2,0.922,4.25,0.4296,0.5295
9,0.394,0.374,100.0,3.17,1.05,0.426,3.95,0.3724,0.4719
10,0.707,0.379,81.8,3.21,1.36,0.739,3.82,0.3858,0.491
11,1.54,2.03,72.7,4.92,0.949,1.59,3.92,0.3641,0.4297
12,0.29,1.47,100.0,3.73,0.982,0.329,3.96,0.3648,0.4315
13,0.498,0.354,81.8,4.67,0.918,0.545,3.87,0.3644,0.4597
14,0.537,1.46,90.9,4.1,0.879,0.579,3.87,0.3537,0.4233
15,0.373,0.738,90.9,2.89,1.1,0.403,3.76,0.3657,0.4469
16,0.561,0.261,81.8,2.5,1.01,0.586,3.84,0.3675,0.4444
17,0.279,0.657,100.0,2.37,1.16,0.303,3.77,0.362,0.4308
18,0.841,0.592,72.7,3.66,1.05,0.878,3.78,0.359,0.4269
19,0.422,0.187,81.8,3.11,1.24,0.453,3.84,0.3755,0.4128
20,0.408,0.677,90.9,3.29,1.12,0.442,3.73,0.3611,0.4265
21,0.821,2.57,81.8,2.63,1.04,0.849,3.73,0.354,0.4198
22,0.346,1.39,90.9,2.27,0.979,0.37,3.79,0.3524,0.4094
23,0.117,0.154,100.0,2.29,1.28,0.14,3.86,0.3523,0.4081
24,0.143,0.217,100.0,4.17,0.812,0.185,3.72,0.3357,0.4141
25,0.534,0.346,81.8,2.61,1.24,0.56,3.76,0.3371,0.4052
26,0.265,1.24,90.9,2.89,0.923,0.295,3.79,0.3596,0.4515
27,0.151,0.389,100.0,2.98,1.16,0.181,3.71,0.3511,0.4393
28,0.29,1.38,90.9,3.18,1.16,0.322,3.72,0.3453,0.4519
29,0.111,1.71,100.0,3.3,1.22,0.145,3.73,0.3517,0.4142
30,0.11,0.522,100.0,3.21,0.976,0.142,3.75,0.3495,0.429
