epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,8.31,4.56,0.0,1.45,1.29,9.04,14.84,0.9946,0.9946
2,6.61,3.12,9.09,1.39,1.48,7.31,8.62,0.6756,0.8284
3,3.9,1.35,27.3,1.59,1.31,4.7,6.98,0.5896,0.7396
4,5.29,3.02,9.09,1.5,1.45,6.04,6.0,0.5623,0.6475
5,2.42,2.37,54.5,1.38,1.41,3.11,5.08,0.4441,0.5938
6,2.88,2.56,36.4,1.5,1.28,3.63,4.84,0.4555,0.5472
7,2.87,1.93,36.4,1.93,1.3,3.83,4.39,0.4027,0.5484
8,2.83,1.51,36.4,1.46,1.34,3.56,4.39,0.4233,0.5592
9,3.24,1.04,18.2,1.74,1.38,4.11,3.85,0.3523,0.5068
10,1.85,0.736,63.6,1.7,1.28,2.7,3.89,0.3763,0.5556
11,3.0,1.78,27.3,1.57,1.27,3.78,3.78,0.3577,0.5089
12,0.581,0.358,90.9,2.21,1.28,0.639,3.83,0.3622,0.5653
13,0.551,0.471,81.8,3.42,0.945,0.585,3.61,0.3442,0.4893
14,1.87,1.77,63.6,2.83,1.14,1.9,3.59,0.3334,0.495
15,1.14,1.61,81.8,1.75,0.951,1.16,3.56,0.3136,0.426
16,1.83,1.8,54.5,2.44,1.4,1.85,3.46,0.3057,0.5041
17,1.36,1.77,63.6,2.54,0.853,1.39,3.33,0.2871,0.417
18,1.9,1.86,54.5,2.98,1.5,1.93,3.34,0.3059,0.4028
19,0.579,0.364,90.9,2.5,1.03,0.604,3.46,0.2993,0.4093
20,1.15,0.433,72.7,3.25,1.15,1.18,3.34,0.296,0.421
21,0.882,0.874,72.7,2.73,0.867,0.91,3.27,0.2776,0.3931
22,1.11,1.38,63.6,1.47,0.983,1.13,3.32,0.277,0.3902
23,1.8,1.02,81.8,3.88,1.01,1.84,3.39,0.2838,0.4049
24,0.652,0.831,90.9,5.14,0.955,0.704,3.35,0.2867,0.4049
25,0.751,0.312,90.9,2.93,1.08,0.781,3.34,0.2849,0.4072
26,0.905,1.49,63.6,3.62,0.925,0.942,3.42,0.2944,0.4038
27,1.13,1.62,81.8,5.49,0.698,1.19,3.32,0.2849,0.4186
28,1.01,1.2,72.7,5.13,0.92,1.07,3.31,0.2902,0.4078
29,2.41,1.55,45.5,3.95,1.07,2.45,3.31,0.2877,0.3995
30,1.41,1.56,72.7,3.45,1.08,1.45,3.31,0.2912,0.3944
