epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,12.1,7.29,0.0,1.4,1.55,12.8,17.53,0.9968,0.9969
2,8.24,3.49,0.0,1.77,1.33,9.13,11.71,0.8414,0.9631
3,9.59,4.96,0.0,1.55,1.24,10.4,10.02,0.7288,0.8778
4,6.77,2.62,0.0,1.54,1.34,7.55,8.13,0.6225,0.8295
5,6.12,3.05,0.0,1.63,1.28,6.94,7.05,0.5694,0.6822
6,4.74,2.77,45.5,1.54,1.42,5.51,6.54,0.5511,0.6761
7,3.95,1.17,18.2,1.53,1.28,4.72,6.12,0.5252,0.7179
8,6.95,3.24,0.0,1.82,1.33,7.86,5.81,0.5273,0.6819
9,6.39,3.43,0.0,1.86,1.3,7.32,5.26,0.5077,0.5692
10,6.76,3.51,9.09,1.73,1.28,7.63,5.02,0.4858,0.5653
11,3.91,2.48,9.09,1.57,1.33,4.69,4.98,0.4923,0.5682
12,4.56,1.03,18.2,2.1,1.13,5.61,5.18,0.4717,0.6008
13,5.06,2.62,18.2,1.87,1.41,6.0,4.76,0.4673,0.5279
14,1.89,1.85,63.6,2.04,1.01,2.91,4.65,0.4611,0.5519
15,5.51,2.75,27.3,1.68,1.16,6.35,4.66,0.4524,0.5232
16,2.01,2.1,45.5,2.1,1.14,3.06,4.72,0.4603,0.5399
17,2.21,2.17,54.5,1.88,1.28,3.15,4.63,0.4471,0.567
18,4.76,2.55,18.2,2.14,1.14,5.83,4.54,0.4388,0.5472
19,3.04,2.51,27.3,1.83,1.31,3.96,4.53,0.4454,0.529
20,2.58,1.33,45.5,1.91,1.28,3.53,4.38,0.4334,0.5435
21,5.54,2.8,18.2,1.8,1.2,6.44,4.41,0.4355,0.5601
22,5.3,2.74,9.09,1.59,1.34,6.1,4.39,0.442,0.5723
23,4.79,2.05,9.09,2.18,1.47,5.88,4.38,0.4396,0.5351
24,4.09,1.3,27.3,1.86,1.14,5.02,4.36,0.4319,0.5441
25,3.88,2.33,18.2,1.94,1.2,4.85,4.39,0.4317,0.5683
26,2.06,1.81,45.5,2.52,1.03,3.33,4.36,0.4219,0.5646
