epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,11.6,5.75,0.0,1.89,1.12,12.5,15.83,0.959,0.9919
2,6.99,3.32,0.0,1.74,1.36,7.86,9.68,0.7121,0.8334
3,7.38,3.29,9.09,1.73,1.41,8.25,7.38,0.5995,0.8018
4,6.3,2.72,0.0,1.56,1.36,7.08,6.4,0.5581,0.7535
5,3.48,2.6,36.4,1.45,1.38,4.21,5.41,0.5047,0.5709
6,5.67,2.55,36.4,1.48,1.19,6.41,5.0,0.4579,0.545
7,2.12,2.15,36.4,1.66,1.22,2.96,4.64,0.4347,0.6136
8,5.43,2.68,18.2,1.89,1.26,6.38,4.47,0.4308,0.5938
9,3.99,2.58,9.09,1.89,1.18,4.94,3.97,0.3818,0.4452
10,4.34,1.86,18.2,2.56,1.0,5.63,4.06,0.4069,0.5531
11,1.89,1.04,63.6,2.01,1.2,2.89,4.05,0.3536,0.472
12,3.89,1.99,18.2,1.97,1.21,4.88,3.9,0.3856,0.4102
13,2.74,1.73,36.4,1.52,1.32,3.5,3.65,0.3712,0.4517
14,3.25,1.31,45.5,1.77,1.28,4.14,3.69,0.3676,0.4924
15,2.25,2.15,54.5,2.04,0.932,3.27,3.7,0.3735,0.435
16,3.72,2.16,18.2,1.79,1.14,4.62,3.57,0.3612,0.4777
17,1.77,0.922,54.5,2.58,1.03,3.06,3.44,0.3497,0.4357
18,1.77,1.22,72.7,2.06,1.11,2.8,3.43,0.3507,0.4612
19,2.95,2.32,45.5,1.82,1.13,3.86,3.45,0.3272,0.4498
20,2.4,1.57,63.6,1.59,1.23,3.19,3.54,0.3348,0.449
21,2.48,1.17,27.3,2.43,1.08,3.7,3.44,0.3424,0.4303
22,3.87,1.88,27.3,1.84,1.59,4.79,3.4,0.3306,0.4273
23,0.783,0.52,81.8,2.17,1.16,1.76,3.43,0.3296,0.4404
24,1.14,1.61,72.7,1.87,1.07,2.08,3.39,0.3315,0.4281
25,2.05,0.772,45.5,2.06,1.2,3.07,3.34,0.3322,0.4153
26,1.89,0.85,63.6,2.22,1.04,3.0,3.42,0.3192,0.4611
27,1.93,1.54,54.5,1.82,1.01,2.84,3.38,0.3233,0.4473
28,4.53,1.67,27.3,1.96,1.03,5.51,3.35,0.3187,0.4259
29,3.92,1.99,45.5,1.93,1.16,4.89,3.37,0.3216,0.4352
30,1.94,0.701,54.5,1.88,1.05,2.88,3.37,0.3199,0.4301
