epoch,am_loss,am_loss_syn,acc,g_loss,d_loss,total_loss,eer,mindcf_2,mindcf_3
1,9.6,0.0,0.0,0.0,0.0,9.6,12.62,0.8474,0.9534
2,3.91,0.0,18.2,0.0,0.0,3.91,7.91,0.6314,0.7906
3,3.75,0.0,27.3,0.0,0.0,3.75,6.49,0.5427,0.7451
4,2.98,0.0,45.5,0.0,0.0,2.98,5.8,0.4911,0.6349
5,0.476,0.0,100.0,0.0,0.0,0.476,4.77,0.4538,0.5315
6,1.89,0.0,36.4,0.0,0.0,1.89,4.7,0.4409,0.5411
7,1.71,0.0,63.6,0.0,0.0,1.71,4.44,0.3961,0.5651
8,0.866,0.0,81.8,0.0,0.0,0.866,4.24,0.4221,0.5213
9,0.853,0.0,90.9,0.0,0.0,0.853,4.17,0.4021,0.5276
10,0.975,0.0,81.8,0.0,0.0,0.975,3.91,0.381,0.5195
11,1.16,0.0,81.8,0.0,0.0,1.16,4.01,0.3922,0.5294
12,1.57,0.0,63.6,0.0,0.0,1.57,3.98,0.3617,0.4443
13,1.05,0.0,72.7,0.0,0.0,1.05,3.81,0.3797,0.4732
14,0.323,0.0,100.0,0.0,0.0,0.323,3.77,0.3702,0.4428
15,0.451,0.0,90.9,0.0,0.0,0.451,3.61,0.3557,0.4101
16,0.79,0.0,90.9,0.0,0.0,0.79,3.92,0.3772,0.4411
17,0.431,0.0,90.9,0.0,0.0,0.431,3.69,0.3946,0.4218
18,0.602,0.0,90.9,0.0,0.0,0.602,3.76,0.3703,0.4474
19,0.241,0.0,100.0,0.0,0.0,0.241,3.81,0.3969,0.4498
20,0.122,0.0,100.0,0.0,0.0,0.122,3.79,0.3849,0.4551
21,0.147,0.0,100.0,0.0,0.0,0.147,3.75,0.3733,0.4543
22,0.52,0.0,90.9,0.0,0.0,0.52,3.76,0.384,0.4528
23,0.401,0.0,81.8,0.0,0.0,0.401,3.8,0.3767,0.4315
24,0.183,0.0,100.0,0.0,0.0,0.183,3.66,0.3807,0.4138
25,0.185,0.0,100.0,0.0,0.0,0.185,3.76,0.3943,0.4369
26,0.138,0.0,100.0,0.0,0.0,0.138,3.73,0.3915,0.4373
27,0.236,0.0,100.0,0.0,0.0,0.236,3.73,0.3959,0.4295
28,0.129,0.0,100.0,0.0,0.0,0.129,3.72,0.3815,0.4413
29,0.249,0.0,100.0,0.0,0.0,0.249,3.7,0.3847,0.439
30,0.246,0.0,100.0,0.0,0.0,0.246,3.72,0.3817,0.4368
